"","method","Cb","l.shift","pc","r","s.shift"
"1","AID","1   2","-0.03   2","0.98   2","0.97   2","0.97   2"
"2","UN","0.89  1 ","-0.14  1 ","0.47  1 ","0.42  1 ","0.65  1 "
